Nome da música,Id da música,Características,Valores
Gueixa no tatame,0g1XYHNZYydfXheBZHFfmj,Acústica,0.505
A faca e o queijo,6H2SY3vMMNhjSsSTfkD6Hr,Acústica,0.819
Outros viram,4Vuv1OpjIA683dVCg14Rgt,Acústica,0.922
Canô,3TlAGuqUc2lnSkeN8T86V1,Acústica,0.0808
Máquina de ritmo,4xZeOJy7L4kYNm5JMpjImG,Acústica,0.431
Banda larga cordel,24sXyXWws4n0rASrNYBqqG,Acústica,0.198
O oco do mundo,6uPeKgD38wII8D1IbWaz7k,Acústica,0.0349
Others Saw It,1KpE2PHUlotow7oy7Ni2r3,Acústica,0.94
Life Gods (Participação especial de Marisa Monte),22bb6XdDlDlj6FmsHnbvZE,Acústica,0.108
Baticum (Participação especial de Chico Buarque),75SQtB5dLTnPtluCM0mBMe,Acústica,0.554
A Paz (Participação especial de João Donato),3wq0hM13O10eNlSWDXe2WO,Acústica,0.452
Cada Macaco No Seu Galho (Chô Chuá) [Participação especial de Caetano Veloso],4N8kzD9PpVgM4oUlL8qfC1,Acústica,0.465
Um Trem para as Estrelas (Participação especial de Cazuza),4KY6IcRexYfwYk3q9HN8BK,Acústica,0.126
Sebastian,4m0nqdi9xMwTEjwmaht6Zj,Acústica,0.408
Tarde em Itapoã (Participação especial de Toquinho),1fnhtShlklKmUDuTym35Lt,Acústica,0.851
Alguém Me Avisou (Participação especial de Maria Bethânia e Caetano Veloso),4KLSxFHwcK1JOw4ctPZ7GN,Acústica,0.557
Extra (Participação especial de Cidade Negra) - Acústico,4ql2jVYt0hD3PFvcsKYVLP,Acústica,0.119
Céu da Boca (Participação especial de Ivete Sangalo) - Ao vivo,1MZKJRRzZPFxoVJBoCrHYr,Acústica,0.448
Macô (Participação especial de Chico Science e Marcelo D2),068nj9kawv53PUN7RFA5yi,Acústica,0.295
Alagados (Participação especial de Os Paralamas do Sucesso),53QDBhT5fm361P08vz1VEI,Acústica,0.0241
Fiz o Que Pude (Participação especial de Cássia Eller),50k6YEWD9XwvFUwJydfURi,Acústica,0.193
Refestança (Participação especial de Rita Lee),6UOFXKlMIOAzSg9XYmEolw,Acústica,0.0684
Preciso Aprender a Só Ser,41q3q5opxQkcfM3FUq2hMA,Acústica,0.957
Aqui e Agora,4W7eLFq7r7zu0hJ49l1Uwd,Acústica,0.953
Copo Vazio,1pkqmRR9Lu4m1PjW1CM8AV,Acústica,0.934
Retiros Espirituais,2P3rjpE85lh7Z2NFKm8SZs,Acústica,0.916
O Seu Amor,4lD5Vs7DDslEOVH982H4b0,Acústica,0.942
Tempo Rei,3FZwN9vQ0maZ188L3bs0oI,Acústica,0.934
O Som da Pessoa,2HdzhflX9VEjfcIAJCb5Yz,Acústica,0.951
Cérebro Eletrônico,2mFXSimfXwb02qRA1xfJHk,Acústica,0.894
A Raça Humana,4yk5i1XfVjQw9Hnizv3ATI,Acústica,0.908
Você e Você,5kimKhhv2opEjc2WQx1EOy,Acústica,0.952
Super-Homem - a Canção,7GdWRtgKtSzpONCoA2VjGd,Acústica,0.947
Rebento,5ODZB69VTYy3d4aK7sL7Oa,Acústica,0.919
Metáfora,1d0s3e3Yz6BfQbFrqylca4,Acústica,0.933
Meditação,3ydZhkOfHFvvoyvCZUENwH,Acústica,0.939
O Compositor Me Disse,4n8WrWlzIHv0iSvXnkIccQ,Acústica,0.943
Refavela,6kjrD1kOcQZUVSlKwtzIsg,Acústica,0.521
Ilê ayê,6L9okk7atrGuieV4FtZybt,Acústica,0.618
Aqui e agora,6r1ezXJH2bD8s9a4depIwC,Acústica,0.738
No norte da saudade,6nYiIKopkucbtv3U3jO0dT,Acústica,0.491
Babá alapalá,2sxMo1q9kad30CdtNsIkXY,Acústica,0.591
Sandra,5JmBuvUAjNnzSPIOF4Z6ZQ,Acústica,0.508
Samba do avião,4eORAD7cw10CUOPyjcD6b4,Acústica,0.68
Era nova,6wPo638YVloLLGDPZRBE2F,Acústica,0.776
